start time, request type, latency, status code,
1711695501704, POST, 15, 201,
1711695501719, POST, 15, 201,
1711695501734, POST, 15, 201,
1711695501749, POST, 15, 201,
1711695501764, POST, 14, 201,
1711695501778, POST, 14, 201,
1711695501792, POST, 15, 201,
1711695501807, POST, 16, 201,
1711695501823, POST, 21, 201,
1711695501844, POST, 22, 201,
1711695501866, POST, 17, 201,
1711695501883, POST, 21, 201,
1711695501904, POST, 29, 201,
1711695501933, POST, 22, 201,
1711695501955, POST, 23, 201,
1711695501978, POST, 18, 201,
1711695501996, POST, 14, 201,
1711695502010, POST, 17, 201,
1711695502027, POST, 19, 201,
1711695502046, POST, 19, 201,
1711695502065, POST, 15, 201,
1711695502080, POST, 16, 201,
1711695502096, POST, 15, 201,
1711695502111, POST, 15, 201,
1711695502126, POST, 18, 201,
1711695502144, POST, 16, 201,
1711695502160, POST, 15, 201,
1711695502175, POST, 16, 201,
1711695502191, POST, 17, 201,
1711695502208, POST, 15, 201,
1711695502224, POST, 19, 201,
1711695502243, POST, 21, 201,
1711695502264, POST, 15, 201,
1711695502279, POST, 17, 201,
1711695502296, POST, 17, 201,
1711695502313, POST, 16, 201,
1711695502329, POST, 15, 201,
1711695502344, POST, 17, 201,
1711695502361, POST, 20, 201,
1711695502381, POST, 19, 201,
1711695502400, POST, 15, 201,
1711695502415, POST, 15, 201,
1711695502430, POST, 21, 201,
1711695502451, POST, 16, 201,
1711695502467, POST, 18, 201,
1711695502485, POST, 23, 201,
1711695502508, POST, 18, 201,
1711695502526, POST, 28, 201,
1711695502554, POST, 14, 201,
1711695502568, POST, 17, 201,
1711695502585, POST, 15, 201,
1711695502600, POST, 16, 201,
1711695502616, POST, 23, 201,
1711695502639, POST, 23, 201,
1711695502662, POST, 16, 201,
1711695502678, POST, 16, 201,
1711695502694, POST, 19, 201,
1711695502713, POST, 17, 201,
1711695502730, POST, 16, 201,
1711695502746, POST, 16, 201,
1711695502762, POST, 16, 201,
1711695502778, POST, 18, 201,
1711695502796, POST, 19, 201,
1711695502815, POST, 15, 201,
1711695502830, POST, 16, 201,
1711695502846, POST, 16, 201,
1711695502862, POST, 15, 201,
1711695502877, POST, 14, 201,
1711695502891, POST, 15, 201,
1711695502906, POST, 14, 201,
1711695502920, POST, 14, 201,
1711695502934, POST, 14, 201,
1711695502948, POST, 18, 201,
1711695502966, POST, 15, 201,
1711695502981, POST, 14, 201,
1711695502995, POST, 14, 201,
1711695503009, POST, 14, 201,
1711695503023, POST, 14, 201,
1711695503037, POST, 14, 201,
1711695503051, POST, 14, 201,
1711695503065, POST, 14, 201,
1711695503079, POST, 16, 201,
1711695503096, POST, 16, 201,
1711695503112, POST, 17, 201,
1711695503129, POST, 17, 201,
1711695503146, POST, 15, 201,
1711695503161, POST, 21, 201,
1711695503182, POST, 19, 201,
1711695503201, POST, 39, 201,
1711695503240, POST, 17, 201,
1711695503257, POST, 17, 201,
1711695503274, POST, 14, 201,
1711695503288, POST, 18, 201,
1711695503306, POST, 16, 201,
1711695503322, POST, 14, 201,
1711695503336, POST, 13, 201,
1711695503349, POST, 14, 201,
1711695503363, POST, 15, 201,
1711695503378, POST, 16, 201,
1711695503394, POST, 24, 201,
1711695503418, POST, 13, 201,
1711695503431, POST, 15, 201,
1711695503446, POST, 18, 201,
1711695503464, POST, 21, 201,
1711695503485, POST, 19, 201,
1711695503504, POST, 13, 201,
1711695503517, POST, 13, 201,
1711695503530, POST, 12, 201,
1711695503542, POST, 17, 201,
1711695503559, POST, 13, 201,
1711695503572, POST, 13, 201,
1711695503585, POST, 15, 201,
1711695503600, POST, 14, 201,
